work_year,job_title,salary,salary_currency,salary_in_usd,employee_residence,company_location,experience_level,employment_type,remote_type,company_size
2021,Data Science Consultant,54000,EUR,63831,DE,DE,Entry_Level,Full_time,Hybrid,Large
2021,Machine Learning Engineer,21000,EUR,24823,DE,DE,Entry_Level,Full_time,Hybrid,Medium
2021,Data Engineer,55000,EUR,65013,DE,DE,Entry_Level,Full_time,Hybrid,Medium
2021,Data Science Consultant,65000,EUR,76833,DE,DE,Entry_Level,Full_time,On_site,Large
2021,Data Analyst,8760,EUR,10354,ES,ES,Entry_Level,Part_time,Hybrid,Medium
2020,Data Scientist,45000,EUR,51321,FR,FR,Entry_Level,Full_time,On_site,Small
2020,Data Scientist,35000,EUR,39916,FR,FR,Entry_Level,Full_time,On_site,Medium
2021,Data Analyst,50000,EUR,59102,FR,FR,Entry_Level,Full_time,Hybrid,Medium
2021,Data Scientist,42000,EUR,49646,FR,FR,Entry_Level,Full_time,Hybrid,Medium
2021,Data Scientist,31000,EUR,36643,FR,FR,Entry_Level,Full_time,Hybrid,Large
2021,Research Scientist,60000,GBP,82528,GB,GB,Entry_Level,Full_time,Hybrid,Large
2021,Applied Data Scientist,80000,GBP,110037,GB,GB,Entry_Level,Full_time,On_site,Large
2022,Data Engineer,40000,GBP,52351,GB,GB,Entry_Level,Full_time,Remote,Medium
2022,Data Engineer,35000,GBP,45807,GB,GB,Entry_Level,Full_time,Remote,Medium
2022,Machine Learning Engineer,28500,GBP,37300,GB,GB,Entry_Level,Full_time,Remote,Large
2020,Data Science Consultant,423000,INR,5707,IN,IN,Entry_Level,Full_time,Hybrid,Medium
2020,Data Analyst,450000,INR,6072,IN,IN,Entry_Level,Full_time,On_site,Small
2021,Data Scientist,2200000,INR,29751,IN,IN,Entry_Level,Full_time,Hybrid,Large
2021,Data Engineer,2250000,INR,30428,IN,IN,Entry_Level,Full_time,Remote,Large
2021,Machine Learning Engineer,20000,USD,20000,IN,IN,Entry_Level,Full_time,Remote,Small
2021,Big Data Engineer,435000,INR,5882,IN,CH,Entry_Level,Full_time,On_site,Large
2021,Big Data Engineer,1200000,INR,16228,IN,IN,Entry_Level,Full_time,Remote,Large
2021,Data Engineer,1600000,INR,21637,IN,IN,Entry_Level,Full_time,Hybrid,Medium
2021,AI Scientist,1335000,INR,18053,IN,AS,Entry_Level,Full_time,Remote,Small
2021,Data Scientist,2100000,INR,28399,IN,IN,Entry_Level,Full_time,Remote,Medium
2022,Data Scientist,1400000,INR,18442,IN,IN,Entry_Level,Full_time,Remote,Medium
2020,Data Scientist,19000,EUR,21669,IT,IT,Entry_Level,Part_time,Hybrid,Small
2020,Data Engineer,4450000,JPY,41689,JP,JP,Entry_Level,Full_time,Remote,Small
2022,Data Scientist,40000,USD,40000,JP,MY,Entry_Level,Full_time,Remote,Large
2020,Research Scientist,42000,USD,42000,NL,NL,Entry_Level,Full_time,Hybrid,Large
2021,Machine Learning Engineer,85000,USD,85000,NL,DE,Entry_Level,Full_time,Remote,Small
2020,Data Engineer,48000,EUR,54742,PK,DE,Entry_Level,Full_time,Remote,Large
2021,AI Scientist,12000,USD,12000,PK,US,Entry_Level,Part_time,Remote,Medium
2022,Data Engineer,52800,EUR,58035,PK,DE,Entry_Level,Full_time,Remote,Medium
2022,Data Analytics Engineer,20000,USD,20000,PK,PK,Entry_Level,Full_time,On_site,Medium
2022,ML Engineer,20000,EUR,21983,PT,PT,Entry_Level,Full_time,Remote,Large
2022,Computer Vision Engineer,10000,USD,10000,PT,LU,Entry_Level,Full_time,Remote,Medium
2020,Data Analyst,72000,USD,72000,US,US,Entry_Level,Full_time,Remote,Large
2020,Business Data Analyst,100000,USD,100000,US,US,Entry_Level,Contract,Remote,Large
2020,Big Data Engineer,70000,USD,70000,US,US,Entry_Level,Full_time,Remote,Large
2020,Machine Learning Engineer,250000,USD,250000,US,US,Entry_Level,Full_time,Hybrid,Large
2020,Machine Learning Engineer,138000,USD,138000,US,US,Entry_Level,Full_time,Remote,Small
2020,Data Analyst,91000,USD,91000,US,US,Entry_Level,Full_time,Remote,Large
2020,Data Scientist,105000,USD,105000,US,US,Entry_Level,Full_time,Remote,Small
2021,Data Analyst,80000,USD,80000,US,US,Entry_Level,Full_time,Remote,Medium
2021,Computer Vision Software Engineer,70000,USD,70000,US,US,Entry_Level,Full_time,Remote,Medium
2021,Machine Learning Scientist,225000,USD,225000,US,US,Entry_Level,Full_time,Remote,Large
2021,Data Analyst,90000,USD,90000,US,US,Entry_Level,Full_time,Remote,Small
2021,Data Analyst,50000,USD,50000,US,US,Entry_Level,Full_time,Remote,Medium
2021,Data Scientist,100000,USD,100000,US,US,Entry_Level,Full_time,On_site,Small
2021,Data Scientist,80000,USD,80000,US,US,Entry_Level,Full_time,Remote,Medium
2021,Machine Learning Engineer,125000,USD,125000,US,US,Entry_Level,Full_time,Remote,Small
2021,Data Engineer,80000,USD,80000,US,US,Entry_Level,Full_time,Remote,Large
2021,BI Data Analyst,55000,USD,55000,US,US,Entry_Level,Full_time,Hybrid,Small
2021,Data Analyst,60000,USD,60000,US,US,Entry_Level,Full_time,Remote,Small
2021,Machine Learning Engineer,81000,USD,81000,US,US,Entry_Level,Full_time,Hybrid,Small
2021,Data Science Consultant,90000,USD,90000,US,US,Entry_Level,Full_time,Remote,Small
2021,Data Scientist,90000,USD,90000,US,US,Entry_Level,Full_time,Remote,Small
2021,Data Engineer,72500,USD,72500,US,US,Entry_Level,Full_time,Remote,Large
2021,Data Scientist,100000,USD,100000,US,US,Entry_Level,Full_time,Remote,Medium
2021,Data Scientist,58000,USD,58000,US,US,Entry_Level,Full_time,Hybrid,Large
2022,Computer Vision Engineer,125000,USD,125000,US,US,Entry_Level,Full_time,On_site,Medium
2022,Financial Data Analyst,100000,USD,100000,US,US,Entry_Level,Full_time,Hybrid,Large
2022,Data Engineer,120000,USD,120000,US,US,Entry_Level,Full_time,Remote,Medium
2022,Research Scientist,120000,USD,120000,US,US,Entry_Level,Full_time,Remote,Large
2022,Data Engineer,65000,USD,65000,US,US,Entry_Level,Full_time,Remote,Small
2021,Data Scientist,4000,USD,4000,VN,VN,Entry_Level,Full_time,On_site,Medium
2022,Lead Data Engineer,150000,CAD,118187,CA,CA,Executive_Level,Full_time,Remote,Small
2022,Director of Data Science,250000,CAD,196979,CA,CA,Executive_Level,Full_time,Hybrid,Large
2021,Director of Data Science,110000,EUR,130026,DE,DE,Executive_Level,Full_time,Hybrid,Medium
2021,Director of Data Science,120000,EUR,141846,DE,DE,Executive_Level,Full_time,On_site,Large
2020,Data Engineering Manager,70000,EUR,79833,ES,ES,Executive_Level,Full_time,Hybrid,Large
2021,Data Science Consultant,59000,EUR,69741,FR,ES,Executive_Level,Full_time,Remote,Small
2021,BI Data Analyst,150000,USD,150000,IN,US,Executive_Level,Full_time,Remote,Large
2022,Head of Machine Learning,6000000,INR,79039,IN,IN,Executive_Level,Full_time,Hybrid,Large
2021,Director of Data Science,130000,EUR,153667,IT,PL,Executive_Level,Full_time,Remote,Large
2021,Head of Data,230000,USD,230000,RU,RU,Executive_Level,Full_time,Hybrid,Large
2021,Head of Data Science,85000,USD,85000,RU,RU,Executive_Level,Full_time,On_site,Medium
2020,Director of Data Science,325000,USD,325000,US,US,Executive_Level,Full_time,Remote,Large
2021,Head of Data,235000,USD,235000,US,US,Executive_Level,Full_time,Remote,Large
2021,Director of Data Science,250000,USD,250000,US,US,Executive_Level,Full_time,On_site,Large
2021,Principal Data Scientist,416000,USD,416000,US,US,Executive_Level,Contract,Remote,Small
2021,Principal Data Engineer,600000,USD,600000,US,US,Executive_Level,Full_time,Remote,Large
2022,Data Engineer,242000,USD,242000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Data Engineer,200000,USD,200000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Data Analyst,130000,USD,130000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Data Analyst,110000,USD,110000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Head of Data Science,224000,USD,224000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Head of Data Science,167875,USD,167875,US,US,Executive_Level,Full_time,Remote,Medium
2022,Analytics Engineer,175000,USD,175000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Analytics Engineer,135000,USD,135000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Data Engineer,324000,USD,324000,US,US,Executive_Level,Full_time,Remote,Medium
2022,Data Engineer,216000,USD,216000,US,US,Executive_Level,Full_time,Remote,Medium
2020,Product Data Analyst,20000,USD,20000,HN,HN,Mid_Level,Full_time,On_site,Small
2020,Data Scientist,11000000,HUF,35735,HU,HU,Mid_Level,Full_time,Hybrid,Large
2020,Machine Learning Engineer,299000,CNY,43331,CN,CN,Mid_Level,Full_time,On_site,Medium
2020,Data Scientist,45760,USD,45760,PH,US,Mid_Level,Full_time,Remote,Small
2021,Cloud Data Engineer,120000,SGD,89294,SG,SG,Mid_Level,Full_time,Hybrid,Large
2021,BI Data Analyst,11000000,HUF,36259,HU,US,Mid_Level,Full_time,Hybrid,Large
2021,Data Scientist,50000,USD,50000,NG,NG,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,160000,SGD,119059,SG,IL,Mid_Level,Full_time,Remote,Medium
2021,Data Engineer,24000,EUR,28369,MT,MT,Mid_Level,Full_time,Hybrid,Large
2021,Data Scientist,58000,MXN,2859,MX,MX,Mid_Level,Full_time,On_site,Small
2021,Data Scientist,30400000,CLP,40038,CL,CL,Mid_Level,Full_time,Remote,Large
2021,Data Engineer,22000,EUR,26005,RO,US,Mid_Level,Full_time,On_site,Large
2021,Data Engineer,4000,USD,4000,IR,IR,Mid_Level,Full_time,Remote,Medium
2021,Big Data Engineer,18000,USD,18000,MD,MD,Mid_Level,Full_time,On_site,Small
2021,Machine Learning Engineer,21000,EUR,24823,SI,SI,Mid_Level,Full_time,Hybrid,Large
2021,Data Engineer,48000,GBP,66022,HK,GB,Mid_Level,Full_time,Hybrid,Small
2021,Machine Learning Engineer,75000,EUR,88654,BE,BE,Mid_Level,Full_time,Remote,Medium
2021,Data Scientist,21600,EUR,25532,RS,DE,Mid_Level,Full_time,Remote,Small
2021,Research Scientist,69999,USD,69999,CZ,CZ,Mid_Level,Full_time,Hybrid,Large
2022,Head of Data,30000,EUR,32974,EE,EE,Mid_Level,Full_time,Remote,Small
2022,Applied Machine Learning Scientist,75000,USD,75000,BO,US,Mid_Level,Full_time,Remote,Large
2022,Data Scientist,115000,CHF,122346,CH,CH,Mid_Level,Full_time,On_site,Large
2020,Lead Data Scientist,115000,USD,115000,AE,AE,Mid_Level,Full_time,On_site,Large
2020,Data Engineer,65000,EUR,74130,AT,AT,Mid_Level,Full_time,Hybrid,Large
2022,Research Scientist,59000,EUR,64849,AT,AT,Mid_Level,Full_time,On_site,Large
2022,Machine Learning Engineer,121000,AUD,87425,AU,AU,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,69600,BRL,12901,BR,BR,Mid_Level,Full_time,On_site,Small
2021,Research Scientist,235000,CAD,187442,CA,CA,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,95000,CAD,75774,CA,CA,Mid_Level,Full_time,Remote,Large
2021,Research Scientist,80000,CAD,63810,CA,CA,Mid_Level,Full_time,Remote,Medium
2022,Machine Learning Developer,100000,CAD,78791,CA,CA,Mid_Level,Full_time,Remote,Medium
2022,Data Scientist,100000,USD,100000,CA,US,Mid_Level,Freelance,Remote,Medium
2022,Principal Data Analyst,75000,USD,75000,CA,CA,Mid_Level,Full_time,Remote,Small
2022,Business Data Analyst,90000,CAD,70912,CA,CA,Mid_Level,Full_time,Hybrid,Large
2022,Data Scientist,88000,CAD,69336,CA,CA,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,85000,USD,85000,CA,CA,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,75000,USD,75000,CA,CA,Mid_Level,Full_time,On_site,Medium
2020,Data Scientist,70000,EUR,79833,DE,DE,Mid_Level,Full_time,On_site,Large
2020,Data Engineering Manager,51999,EUR,59303,DE,DE,Mid_Level,Full_time,Remote,Small
2021,Computer Vision Software Engineer,81000,EUR,95746,DE,US,Mid_Level,Full_time,Remote,Small
2021,Data Scientist,76760,EUR,90734,DE,DE,Mid_Level,Full_time,Hybrid,Large
2021,Data Scientist,52000,EUR,61467,DE,AT,Mid_Level,Full_time,Hybrid,Medium
2021,Data Scientist,76760,EUR,90734,DE,DE,Mid_Level,Full_time,Hybrid,Large
2021,Data Scientist,75000,EUR,88654,DE,DE,Mid_Level,Full_time,Hybrid,Large
2022,Data Engineer,50000,EUR,54957,DE,DE,Mid_Level,Part_time,Hybrid,Large
2020,Data Scientist,34000,EUR,38776,ES,ES,Mid_Level,Full_time,Remote,Medium
2020,Data Engineer,130800,USD,130800,ES,US,Mid_Level,Full_time,Remote,Medium
2021,Machine Learning Engineer,40000,EUR,47282,ES,ES,Mid_Level,Full_time,Remote,Small
2021,Big Data Engineer,60000,USD,60000,ES,RO,Mid_Level,Full_time,Hybrid,Medium
2021,Data Scientist,32000,EUR,37825,ES,ES,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,39600,EUR,46809,ES,ES,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,45000,EUR,49461,ES,ES,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,40000,EUR,43966,ES,ES,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,30000,EUR,32974,ES,ES,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,80000,EUR,87932,ES,ES,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,70000,EUR,76940,ES,ES,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,60000,EUR,65949,ES,ES,Mid_Level,Full_time,Remote,Medium
2020,Data Analyst,41000,EUR,46759,FR,FR,Mid_Level,Full_time,Hybrid,Large
2020,Data Engineer,61500,EUR,70139,FR,FR,Mid_Level,Full_time,Hybrid,Large
2020,Data Scientist,55000,EUR,62726,FR,LU,Mid_Level,Full_time,Hybrid,Small
2020,Data Scientist,37000,EUR,42197,FR,FR,Mid_Level,Full_time,Hybrid,Small
2021,Research Scientist,53000,EUR,62649,FR,FR,Mid_Level,Full_time,Hybrid,Medium
2021,Research Scientist,48000,EUR,56738,FR,FR,Mid_Level,Full_time,Hybrid,Small
2022,Machine Learning Engineer,80000,EUR,87932,FR,DE,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,62000,EUR,68147,FR,FR,Mid_Level,Full_time,Remote,Medium
2020,Data Engineer,88000,GBP,112872,GB,GB,Mid_Level,Full_time,Hybrid,Large
2020,Data Scientist,60000,GBP,76958,GB,GB,Mid_Level,Full_time,Remote,Small
2021,Applied Data Scientist,68000,CAD,54238,GB,CA,Mid_Level,Full_time,Hybrid,Large
2021,Data Analyst,37456,GBP,51519,GB,GB,Mid_Level,Full_time,Hybrid,Large
2021,Data Engineer,60000,GBP,82528,GB,GB,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,85000,GBP,116914,GB,GB,Mid_Level,Full_time,Hybrid,Large
2021,Data Scientist,40900,GBP,56256,GB,GB,Mid_Level,Full_time,Hybrid,Large
2021,Data Engineer,52500,GBP,72212,GB,GB,Mid_Level,Full_time,Hybrid,Large
2022,Data Scientist,50000,GBP,65438,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Scientist,30000,GBP,39263,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,60000,GBP,78526,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,40000,GBP,52351,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Machine Learning Engineer,95000,GBP,124333,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Machine Learning Engineer,75000,GBP,98158,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,90000,GBP,117789,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,75000,GBP,98158,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,40000,GBP,52351,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Scientist,55000,GBP,71982,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Scientist,35000,GBP,45807,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,60000,GBP,78526,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,45000,GBP,58894,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,30000,GBP,39263,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,80000,GBP,104702,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,70000,GBP,91614,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,75000,GBP,98158,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,60000,GBP,78526,GB,GB,Mid_Level,Full_time,Remote,Medium
2022,Data Scientist,140000,GBP,183228,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Scientist,70000,GBP,91614,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,50000,GBP,65438,GB,GB,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,35000,GBP,45807,GB,GB,Mid_Level,Full_time,On_site,Medium
2021,Data Science Engineer,34000,EUR,40189,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,ETL Developer,50000,EUR,54957,GR,GR,Mid_Level,Full_time,On_site,Medium
2022,ETL Developer,50000,EUR,54957,GR,GR,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,60000,EUR,65949,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,45000,EUR,49461,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,80000,EUR,87932,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,40000,EUR,43966,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,30000,EUR,32974,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,70000,EUR,76940,GR,GR,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,20000,USD,20000,GR,GR,Mid_Level,Full_time,Remote,Small
2020,Data Scientist,3000000,INR,40481,IN,IN,Mid_Level,Full_time,On_site,Large
2020,Product Data Analyst,450000,INR,6072,IN,IN,Mid_Level,Full_time,Remote,Large
2021,3D Computer Vision Researcher,400000,INR,5409,IN,IN,Mid_Level,Part_time,Hybrid,Medium
2021,Lead Data Analyst,1450000,INR,19609,IN,IN,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,700000,INR,9466,IN,IN,Mid_Level,Full_time,On_site,Small
2021,Data Scientist,420000,INR,5679,IN,US,Mid_Level,Full_time,Remote,Small
2021,Big Data Engineer,1672000,INR,22611,IN,IN,Mid_Level,Full_time,On_site,Large
2021,Data Scientist,2500000,INR,33808,IN,IN,Mid_Level,Full_time,On_site,Medium
2021,Data Scientist,1250000,INR,16904,IN,IN,Mid_Level,Full_time,Remote,Small
2022,Business Data Analyst,1400000,INR,18442,IN,IN,Mid_Level,Full_time,Remote,Medium
2022,Data Scientist,2400000,INR,31615,IN,IN,Mid_Level,Full_time,Remote,Large
2022,AI Scientist,200000,USD,200000,IN,US,Mid_Level,Full_time,Remote,Large
2021,Data Engineer,20000,USD,20000,IT,US,Mid_Level,Freelance,On_site,Large
2021,Machine Learning Engineer,43200,EUR,51064,IT,IT,Mid_Level,Full_time,Hybrid,Large
2021,ML Engineer,7000000,JPY,63711,JP,JP,Mid_Level,Full_time,Hybrid,Small
2021,ML Engineer,8500000,JPY,77364,JP,JP,Mid_Level,Full_time,Hybrid,Small
2021,Machine Learning Engineer,74000,USD,74000,JP,JP,Mid_Level,Full_time,Hybrid,Small
2021,Data Engineer,38400,EUR,45391,NL,NL,Mid_Level,Full_time,Remote,Large
2021,Data Engineer,59000,EUR,69741,NL,NL,Mid_Level,Part_time,Remote,Large
2020,Data Analyst,8000,USD,8000,PK,PK,Mid_Level,Full_time,Hybrid,Large
2021,Machine Learning Scientist,12000,USD,12000,PK,PK,Mid_Level,Freelance,Hybrid,Medium
2021,Data Engineer,110000,PLN,28476,PL,PL,Mid_Level,Full_time,Remote,Large
2021,Machine Learning Engineer,180000,PLN,46597,PL,PL,Mid_Level,Full_time,Remote,Large
2022,Data Scientist,150000,PLN,35590,PL,PL,Mid_Level,Full_time,Remote,Large
2020,Lead Data Engineer,56000,USD,56000,PT,US,Mid_Level,Full_time,Remote,Medium
2020,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,PT,Mid_Level,Full_time,On_site,Medium
2022,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,PT,Mid_Level,Full_time,Hybrid,Large
2022,Data Scientist,48000,USD,48000,RU,US,Mid_Level,Full_time,Remote,Small
2021,Data Engineer,108000,TRY,12103,TR,TR,Mid_Level,Full_time,On_site,Medium
2021,Data Engineer,250000,TRY,28016,TR,TR,Mid_Level,Full_time,Remote,Medium
2020,Business Data Analyst,135000,USD,135000,US,US,Mid_Level,Full_time,Remote,Large
2020,Lead Data Analyst,87000,USD,87000,US,US,Mid_Level,Full_time,Remote,Large
2020,Data Analyst,85000,USD,85000,US,US,Mid_Level,Full_time,Remote,Large
2020,BI Data Analyst,98000,USD,98000,US,US,Mid_Level,Full_time,On_site,Medium
2020,Research Scientist,450000,USD,450000,US,US,Mid_Level,Full_time,On_site,Medium
2020,Data Science Consultant,103000,USD,103000,US,US,Mid_Level,Full_time,Remote,Large
2020,Data Engineer,106000,USD,106000,US,US,Mid_Level,Full_time,Remote,Large
2020,Data Scientist,105000,USD,105000,US,US,Mid_Level,Full_time,Remote,Large
2020,Data Scientist,118000,USD,118000,US,US,Mid_Level,Full_time,Remote,Medium
2020,Data Scientist,138350,USD,138350,US,US,Mid_Level,Full_time,Remote,Medium
2020,Data Engineer,110000,USD,110000,US,US,Mid_Level,Full_time,Remote,Large
2021,BI Data Analyst,100000,USD,100000,US,US,Mid_Level,Full_time,Remote,Medium
2021,ML Engineer,270000,USD,270000,US,US,Mid_Level,Contract,Remote,Large
2021,Data Engineer,140000,USD,140000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Analytics Engineer,110000,USD,110000,US,US,Mid_Level,Full_time,Remote,Large
2021,Financial Data Analyst,450000,USD,450000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Analyst,75000,USD,75000,US,US,Mid_Level,Full_time,On_site,Large
2021,Data Analyst,62000,USD,62000,US,US,Mid_Level,Full_time,On_site,Large
2021,Data Scientist,73000,USD,73000,US,US,Mid_Level,Full_time,On_site,Large
2021,Data Engineer,200000,USD,200000,US,US,Mid_Level,Full_time,Remote,Large
2021,Principal Data Scientist,151000,USD,151000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Analyst,90000,USD,90000,US,US,Mid_Level,Full_time,Remote,Medium
2021,Data Analyst,135000,USD,135000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,82500,USD,82500,US,US,Mid_Level,Full_time,Remote,Small
2021,Data Engineer,100000,USD,100000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Engineer,90000,USD,90000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,150000,USD,150000,US,US,Mid_Level,Full_time,Remote,Medium
2021,Applied Machine Learning Scientist,423000,USD,423000,US,US,Mid_Level,Full_time,Hybrid,Large
2021,Data Architect,150000,USD,150000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Architect,170000,USD,170000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,147000,USD,147000,US,US,Mid_Level,Full_time,Hybrid,Large
2021,Data Scientist,160000,USD,160000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Architect,180000,USD,180000,US,US,Mid_Level,Full_time,Remote,Large
2021,Head of Data Science,110000,USD,110000,US,US,Mid_Level,Full_time,On_site,Small
2021,Data Analyst,80000,USD,80000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Engineer,110000,USD,110000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,115000,USD,115000,US,US,Mid_Level,Full_time,Hybrid,Large
2021,Data Analyst,93000,USD,93000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Engineer,200000,USD,200000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,130000,USD,130000,US,US,Mid_Level,Full_time,Hybrid,Large
2021,Data Engineer,93150,USD,93150,US,US,Mid_Level,Full_time,On_site,Medium
2021,Data Engineer,111775,USD,111775,US,US,Mid_Level,Full_time,On_site,Medium
2021,Data Engineer,112000,USD,112000,US,US,Mid_Level,Full_time,Remote,Large
2021,Data Scientist,109000,USD,109000,US,US,Mid_Level,Full_time,Hybrid,Large
2022,Data Scientist,130000,USD,130000,US,US,Mid_Level,Full_time,On_site,Medium
2022,Data Scientist,90000,USD,90000,US,US,Mid_Level,Full_time,On_site,Medium
2022,Data Engineer,170000,USD,170000,US,US,Mid_Level,Full_time,Remote,Medium
2022,Data Engineer,150000,USD,150000,US,US,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,106260,USD,106260,US,US,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,126500,USD,126500,US,US,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,115500,USD,115500,US,US,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,167000,USD,167000,US,US,Mid_Level,Full_time,Remote,Medium
2022,Data Analyst,58000,USD,58000,US,US,Mid_Level,Full_time,On_site,Small
2022,AI Scientist,120000,USD,120000,US,US,Mid_Level,Full_time,On_site,Medium
2022,Data Analyst,58000,USD,58000,US,US,Mid_Level,Full_time,On_site,Small
